STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
49896,2026-08-03 05:15:00,NE_000019,DEV_000019,,1808633.7753401045,,,,,,101.63271947929645,38.557034913716386,,,,,,102.41889052469232,,,17461.892195016873,11.440898816836716,1161473.67028809,966742.7964179667,1207919.947922162,2026-08-03,05:15:00
49553,2026-08-03 06:50:00,NE_000019,DEV_000019,,1922247.7941115785,,,,,,95.37552870399948,41.16161666774732,,,,,,102.19842439937239,,,36314.902878269066,24.12239310593083,1298433.0583214108,999397.6640689555,1326002.476877047,2026-08-03,06:50:00
49166,2026-08-03 08:40:00,NE_000019,DEV_000019,,1918895.867756361,,,,,,101.57854915044086,43.515242666842994,,,,,,104.1356110981985,,,50828.586512172486,35.270074923612675,1307483.5621488402,965062.5180263284,1307606.6208135718,2026-08-03,08:40:00
49139,2026-08-03 08:45:00,NE_000019,DEV_000019,,2002897.0359992608,,,,,,99.97770516871832,46.05841329959613,,,,,,97.77459279554317,,,53440.00954952945,36.294174911961974,1271342.7373163912,965065.2568749387,1368820.4129988374,2026-08-03,08:45:00
49111,2026-08-03 08:55:00,NE_000019,DEV_000019,,1960927.5948598238,,,,,,101.30085476811014,43.89575275767094,,,,,,97.66485003863407,,,57208.67059580784,38.422466204529144,1302151.8998852656,972685.616913565,1372984.2696321458,2026-08-03,08:55:00
49089,2026-08-03 09:00:00,NE_000019,DEV_000019,,2052038.1741923995,,,,,,102.95653081112471,44.98786691966716,,,,,,101.286459996348,,,53253.934154354676,38.1821824172452,1289612.1310731447,954120.8244787246,1354958.169788763,2026-08-03,09:00:00
49074,2026-08-03 09:05:00,NE_000019,DEV_000019,,1982278.9333154398,,,,,,99.5278421035045,43.807678478818936,,,,,,103.45164380210133,,,54438.776027858716,38.0326839219321,1259137.890225109,932783.9617255437,1305587.5504949552,2026-08-03,09:05:00
48694,2026-08-03 10:50:00,NE_000019,DEV_000019,,1963368.1676736546,,,,,,101.8852919589655,46.34702202393069,,,,,,102.33292660871027,,,61743.81632081273,38.63036285554844,1245511.0672405127,963184.6416834444,1377288.925019465,2026-08-03,10:50:00
48602,2026-08-03 11:15:00,NE_000019,DEV_000019,,1967893.1176689256,,,,,,100.00108651455798,44.76579506234163,,,,,,95.08753191232799,,,58227.875764119795,40.202342165121266,1237437.2710150408,994594.616068753,1336517.418090947,2026-08-03,11:15:00
48581,2026-08-03 11:20:00,NE_000019,DEV_000019,,2112150.0983273224,,,,,,98.51928397958739,46.07881893492296,,,,,,101.94853997140589,,,60002.129949162074,41.757336198297956,1219932.1223651073,996589.1963111487,1341660.375102257,2026-08-03,11:20:00
